date,delivery fee,price,title,url
2018-12-21 오후 3:16:11,무료 배송,"120,500",애플 아이패드 미니1 iPad Mini1 WiFi 16GB B+급 N5,http://through.auction.co.kr/common/SafeRedirect.aspx?&next=http://itempage3.auction.co.kr/DetailView.aspx?ItemNo=B616026521&scoredtype=0&keyword=ipad
2018-12-21 오후 12:28:23,무료 배송,"127,000",APPLE 아이패드2 IPAD2 A1395 16기가 WiFi A급 M2,http://through.auction.co.kr/common/SafeRedirect.aspx?&next=http://itempage3.auction.co.kr/DetailView.aspx?ItemNo=B615973188&scoredtype=0&keyword=ipad
2018-12-21 오후 12:58:12,무료 배송,"1,000,000",아이패드프로12.9/새상품/리퍼(키보드+펜슬,http://through.auction.co.kr/common/SafeRedirect.aspx?&next=http://itempage3.auction.co.kr/DetailView.aspx?ItemNo=B615940865&scoredtype=0&keyword=ipad
NONE,"배송비 4,000원","172,000",애플 아이패드 에어1 32GB,http://through.auction.co.kr/common/SafeRedirect.aspx?&next=http://itempage3.auction.co.kr/DetailView.aspx?ItemNo=B032337941&scoredtype=0&keyword=ipad
2018-12-21 오전 1:02:45,무료 배송,"215,000",아이패드미니2 iPadMINI2 A1489 WiFi 16기가 S급 M3,http://through.auction.co.kr/common/SafeRedirect.aspx?&next=http://itempage3.auction.co.kr/DetailView.aspx?ItemNo=B615847643&scoredtype=0&keyword=ipad
2018-12-21 오전 3:34:45,"배송비 3,000원","189,000",iPad 아이패드3 16GB SKT WIFI A1430 태블릿 중고 D,http://through.auction.co.kr/common/SafeRedirect.aspx?&next=http://itempage3.auction.co.kr/DetailView.aspx?ItemNo=B615867340&scoredtype=0&keyword=ipad
2018-12-21 오전 11:33:42,무료 배송,"595,000",Apple 애플 아이패드프로9.7 중고 S/A/B급 전시 중고,http://through.auction.co.kr/common/SafeRedirect.aspx?&next=http://itempage3.auction.co.kr/DetailView.aspx?ItemNo=B615953115&scoredtype=0&keyword=ipad
2018-12-21 오전 11:54:01,무료 배송,"575,000",Apple 애플 아이패드프로9.7 중고 S/A/B급 전시 중고,http://through.auction.co.kr/common/SafeRedirect.aspx?&next=http://itempage3.auction.co.kr/DetailView.aspx?ItemNo=B615961106&scoredtype=0&keyword=ipad
2018-12-21 오후 12:31:04,무료 배송,"126,000",APPLE 아이패드2 IPAD2 A1395 16기가 WiFi A급 M2,http://through.auction.co.kr/common/SafeRedirect.aspx?&next=http://itempage3.auction.co.kr/DetailView.aspx?ItemNo=B615974089&scoredtype=0&keyword=ipad
2018-12-21 오후 6:39:39,무료 배송,"100,000",Apple iPad 애플 아이패드2 중고 S/A/B급 전시 중고,http://through.auction.co.kr/common/SafeRedirect.aspx?&next=http://itempage3.auction.co.kr/DetailView.aspx?ItemNo=B616109130&scoredtype=0&keyword=ipad
2018-12-20 오후 7:32:57,"배송비 3,000원","229,000",아이패드 에어1 와이파이 16기가 A급 풀박스,http://through.auction.co.kr/common/SafeRedirect.aspx?&next=http://itempage3.auction.co.kr/DetailView.aspx?ItemNo=B615771102&scoredtype=0&keyword=ipad
NONE,무료 배송,"90,000",아이패드1세대,http://through.auction.co.kr/common/SafeRedirect.aspx?&next=http://itempage3.auction.co.kr/DetailView.aspx?ItemNo=B032325999&scoredtype=0&keyword=ipad
2018-12-20 오전 12:42:34,무료 배송,"480,000",애플 아이패드 6세대 와이파이 128G 미개봉 새제품,http://through.auction.co.kr/common/SafeRedirect.aspx?&next=http://itempage3.auction.co.kr/DetailView.aspx?ItemNo=B615406310&scoredtype=0&keyword=ipad
2018-12-20 오후 5:14:20,무료 배송,"115,000",Apple 애플 아이패드미니1 중고 S/A/B급 전시 중고,http://through.auction.co.kr/common/SafeRedirect.aspx?&next=http://itempage3.auction.co.kr/DetailView.aspx?ItemNo=B615716749&scoredtype=0
2018-12-19 오후 11:12:13,"배송비 3,000원","313,000",아이패드 에어1 와이파이 128g A급 풀박스,http://through.auction.co.kr/common/SafeRedirect.aspx?&next=http://itempage3.auction.co.kr/DetailView.aspx?ItemNo=B615383585&scoredtype=0
2018-12-23 오후 6:59:41,무료 배송,"170,000",뉴아이패드 3세대 64GB Wifi A1416 본품+케이스케이블,http://through.auction.co.kr/common/SafeRedirect.aspx?&next=http://itempage3.auction.co.kr/DetailView.aspx?ItemNo=B615199576&scoredtype=0
NONE,무료 배송,"590,000",아이패드프로 셀룰러 128G 스마트키보드 실리콘케이스,http://through.auction.co.kr/common/SafeRedirect.aspx?&next=http://itempage3.auction.co.kr/DetailView.aspx?ItemNo=B032288696&scoredtype=0
NONE,무료 배송,"122,000",아이패드 3세대 32G 특A 팝니다!,http://through.auction.co.kr/common/SafeRedirect.aspx?&next=http://itempage3.auction.co.kr/DetailView.aspx?ItemNo=B032283552&scoredtype=0
2018-12-19 오후 1:55:24,무료 배송,"195,000",아이패드 미니3(Retina) 16G WiFI/중고아이패드미니,http://through.auction.co.kr/common/SafeRedirect.aspx?&next=http://itempage3.auction.co.kr/DetailView.aspx?ItemNo=B615146887&scoredtype=0
2018-12-23 오후 1:02:32,무료 배송,"349,000",Ipad Air2 64G wifi A1566,http://through.auction.co.kr/common/SafeRedirect.aspx?&next=http://itempage3.auction.co.kr/DetailView.aspx?ItemNo=B614932141&scoredtype=0
NONE,무료 배송,"397,000",아이패드에어2 128기가 셀룰러,http://through.auction.co.kr/common/SafeRedirect.aspx?&next=http://itempage3.auction.co.kr/DetailView.aspx?ItemNo=B032281998&scoredtype=0
2018-12-18 오후 10:56:00,"배송비 5,000원","870,000",아이패드프로2세대 10.5 (512GB),http://through.auction.co.kr/common/SafeRedirect.aspx?&next=http://itempage3.auction.co.kr/DetailView.aspx?ItemNo=B614921964&scoredtype=0
2018-12-18 오후 10:54:13,"배송비 3,000원","345,000",아이패드에어2 64g 골드 다기펜 케이스 새것,http://through.auction.co.kr/common/SafeRedirect.aspx?&next=http://itempage3.auction.co.kr/DetailView.aspx?ItemNo=B614920641&scoredtype=0
2018-12-18 오후 10:32:33,무료 배송,"300,000",아이패드 에어2 wifi 64G Gold (Ipad air2),http://through.auction.co.kr/common/SafeRedirect.aspx?&next=http://itempage3.auction.co.kr/DetailView.aspx?ItemNo=B614917086&scoredtype=0
2018-12-18 오후 7:13:32,무료 배송,"720,000",아이패드프로10.5로즈골드256기가셀룰러 판매,http://through.auction.co.kr/common/SafeRedirect.aspx?&next=http://itempage3.auction.co.kr/DetailView.aspx?ItemNo=B614867175&scoredtype=0
2018-12-18 오후 6:47:04,무료 배송,"280,000",애플 아이패드 에어 (wifi) - 128G,http://through.auction.co.kr/common/SafeRedirect.aspx?&next=http://itempage3.auction.co.kr/DetailView.aspx?ItemNo=B614857706&scoredtype=0
2018-12-18 오후 6:13:45,무료 배송,"1,090,000",아이패드프로2 12.9 512G wifi,http://through.auction.co.kr/common/SafeRedirect.aspx?&next=http://itempage3.auction.co.kr/DetailView.aspx?ItemNo=B614844151&scoredtype=0
2018-12-19 오후 10:25:10,무료 배송,"169,000",프라다 아이패드 케이스 아이패드 에어용 새상품,http://through.auction.co.kr/common/SafeRedirect.aspx?&next=http://itempage3.auction.co.kr/DetailView.aspx?ItemNo=B614814714&scoredtype=0
2018-12-18 오후 4:17:35,"배송비 5,000원","860,000",아이패드프로 10.5 샐룰러 256 펜슬,http://through.auction.co.kr/common/SafeRedirect.aspx?&next=http://itempage3.auction.co.kr/DetailView.aspx?ItemNo=B614785216&scoredtype=0
2018-12-18 오후 3:43:05,무료 배송,"350,000",뉴아이패드 9.7 2017 와이파이 128기가,http://through.auction.co.kr/common/SafeRedirect.aspx?&next=http://itempage3.auction.co.kr/DetailView.aspx?ItemNo=B614768501&scoredtype=0
2018-12-18 오후 2:25:00,무료 배송,"175,000",NEW IPAD3  RETINA 32G WIFI,http://through.auction.co.kr/common/SafeRedirect.aspx?&next=http://itempage3.auction.co.kr/DetailView.aspx?ItemNo=B614724980&scoredtype=0
2018-12-18 오후 12:23:22,"배송비 3,000원","249,000",아이패드 에어1 와이파이 32기가 A급 풀박스,http://through.auction.co.kr/common/SafeRedirect.aspx?&next=http://itempage3.auction.co.kr/DetailView.aspx?ItemNo=B614678290&scoredtype=0
2018-12-18 오전 11:44:16,"배송비 3,000원","249,000",아이패드 에어1 32기가 A급 풀박스,http://through.auction.co.kr/common/SafeRedirect.aspx?&next=http://itempage3.auction.co.kr/DetailView.aspx?ItemNo=B614661879&scoredtype=0
NONE,"배송비 5,000원","250,000",아이패드4,http://through.auction.co.kr/common/SafeRedirect.aspx?&next=http://itempage3.auction.co.kr/DetailView.aspx?ItemNo=B032262354&scoredtype=0
2018-12-18 오후 3:57:48,무료 배송,"730,000",Apple 애플 아이패드프로12.9 중고 S/A/B급 전시 중고,http://through.auction.co.kr/common/SafeRedirect.aspx?&next=http://itempage3.auction.co.kr/DetailView.aspx?ItemNo=B614775406&scoredtype=0
